Tempo (s),Distância Percorrida (m),Comprimento do Passo (m),Ângulo Joelho Esq (°),Ângulo Joelho Dir (°),Comprimento da Passada (m)
0.8842166666666678,23.652392547691715,0.6899789615401585,163.55658193452837,177.5519411327694,0.005078498477177515
0.9009000000000011,24.343209387352527,0.6908168396608122,160.00575389556576,175.20720922365302,0.002247758276274037
0.9175833333333345,25.033816328656318,0.6906069413037914,162.52880367069554,179.41267457894406,0.0028871509524429763
0.9342666666666679,25.71706357479411,0.6832472461377923,167.91748163116506,170.3331208353707,0.008245116437555704
0.9509500000000013,26.39211078174959,0.6750472069554802,168.09917993236056,165.75683786340358,0.0024746894846762245
0.9676333333333347,27.07556259620166,0.6834518144520699,156.54751391134914,172.1469308791029,0.019366535568710985
0.9843166666666681,27.754553703850753,0.6789911076490943,149.99584018308013,166.2566547745715,0.0023544579694827206
1.0010000000000014,28.431939129361762,0.6773854255110091,138.74942525033785,165.34242485343862,0.008660008599039369
1.0176833333333348,29.092173871463483,0.6602347421017228,136.36990510208307,171.92500804078125,0.012671588125571441
1.0343666666666682,29.73910708013164,0.6469332086681546,127.78889948571613,171.9320357142319,0.0023135081568168947
1.0510500000000016,30.364118813873773,0.6250117337421346,111.2985009992173,168.97994223589131,0.009290951995017518
1.067733333333335,30.939411704466856,0.5752928905930835,100.07186210172043,175.3661755233802,0.03587417188080389
1.0844166666666684,31.493482778265452,0.5540710737985978,97.83416635168385,174.98802554410733,0.004860772631910227
1.1011000000000017,32.02349527023376,0.5300124919683076,96.28911493359341,161.49218748202378,0.0049993650027849584
1.1177833333333351,32.50461270380323,0.48111743356947506,92.93950580609044,159.83779476217651,0.031016583028474837
1.1344666666666685,32.90126740422051,0.39665470041727663,85.41752609368787,137.34290277843428,0.027675264157639958
1.151150000000002,33.18993671660111,0.28866931238059507,70.25500358826697,103.90179347139839,0.0458167718441648
1.1678333333333353,33.40916719430641,0.2192304777053057,60.48090462172826,83.71871949643938,0.005535080064051186
1.1845166666666687,33.54586182843247,0.13669463412605812,55.17498948032044,76.25060763422373,0.04207702518307714
1.201200000000002,33.6376002468873,0.09173841845483209,61.91488315182011,72.62566192095305,0.04154610618611761
1.2178833333333354,33.67600188289216,0.038401636004857694,72.57047143995979,75.40097317892689,0.0885756731491326
1.2345666666666688,33.74401862508194,0.06801674218978439,85.80981586103111,86.44353829231717,0.0067618720735135
1.2512500000000022,33.96402837480095,0.22000974971900447,92.58514854058622,157.27751416268367,0.15510752146675866
1.2679333333333356,34.180708734749516,0.21668035994856644,93.95823748875996,166.00494168140958,0.012999339072303662
1.284616666666669,34.498620909524526,0.3179121747750114,113.52243736941799,159.56948200916418,0.019897922546929035
1.3013000000000023,35.003969052605434,0.5053481430809112,155.05821814866462,157.9809834648635,0.09539388945644736
1.3179833333333357,35.559904027555255,0.5559349749498181,162.30748056891113,156.5410941851122,0.02784499584708401
1.334666666666669,36.17724369110339,0.6173396635481376,178.8394194004492,156.9629050765713,0.026618531904731697
1.3513500000000025,36.805509284523595,0.6282655934202046,166.19732784883092,171.96733200138678,0.0076656766700079
1.3680333333333359,37.43589376839284,0.6303844838692426,174.6182082759122,166.4525466675293,0.01752037141972965
1.3847166666666693,38.07901079619968,0.6431170278068427,179.7805754832699,157.11511701924312,0.012955960166516447
1.4014000000000026,38.73839630285699,0.6593855066573104,176.76742790523198,159.2984482392266,0.011903717150116235
1.418083333333336,39.4075020185324,0.6691057156754083,178.83365689125293,160.23223739204508,0.004222854898770921
1.4347666666666694,40.086107717753876,0.6786056992214786,178.6359841449077,160.53626330687595,0.009575889661576981
1.4514500000000028,40.76372386971498,0.6776161519611061,179.5025956287223,162.57572588974008,0.0071096792981665755
1.4681333333333362,41.43766377933372,0.6739399096187357,179.76897675639432,162.02807169458364,0.011909805219209217
1.4848166666666696,42.11906223058492,0.6813984512512038,179.95755109622658,166.06225492070664,0.003252145726764845
