Tempo (s),Distância Percorrida (m),Comprimento do Passo (m),Ângulo Joelho Esq (°),Ângulo Joelho Dir (°),Comprimento da Passada (m),Largura
0.7507500000000007,17.895626554903487,0.5445224937730189,130.2879654890218,161.02476674045647,0.010316669441197612,0.07397462988805346
0.7674333333333341,18.418923234228732,0.5232966793252468,121.76693933667738,162.42593576129596,0.010141771077828559,0.0708770909487235
0.7841166666666675,18.918073411952584,0.49915017772385073,117.24680535075377,157.12033137297803,0.009872566501503224,0.06747428651198092
0.8008000000000008,19.402593123466588,0.484519711514003,120.92314639369164,151.41333350897764,0.009382518832008987,0.06536124463922649
0.8174833333333342,19.871397796856805,0.46880467339021736,117.8311293960387,137.63565976690802,0.008821383170985506,0.06304992237115534
0.8341666666666676,20.299117717238545,0.4277199203817416,100.97230960511627,105.69142313802877,0.0024419001281104032,0.05727380318747497
0.850850000000001,20.671833801350243,0.37271608411169693,81.93319870392074,100.18930029801211,0.013799281848872639,0.0494657953251488
0.8675333333333344,20.990779026753817,0.3189452254035742,67.0684163336505,87.13924595386858,0.01377050776940305,0.04166137932812372
0.8842166666666678,21.28727824895339,0.2964992221995709,53.916068429882735,95.15716105012156,0.011909047291326576,0.038344681251338754
0.9009000000000011,21.540743534228117,0.2534652852747271,46.11314760245062,114.50658461026174,0.01095348107355382,0.03193463474474178
0.9175833333333345,21.700018169262545,0.15927463503442693,48.60579201604668,108.30524841863914,0.06478158718003799,0.017701880790083006
0.9342666666666679,21.806474559902696,0.10645639064015228,49.85708210715402,108.06531401512511,0.14530800056986645,0.010137929104148163
0.9509500000000013,21.932544167020804,0.1260696071181067,53.931261275886484,127.6130284261707,0.033120034073592354,0.014740974192642958
0.9676333333333347,22.11308626284269,0.1805420958218838,61.1241407586495,131.19467149303034,0.037745596378700355,0.023875419777844943
0.9843166666666681,22.36738413946765,0.25429787662496184,68.84680317191129,137.74639239802718,0.02508525706680686,0.034338568503250205
1.0010000000000014,22.680937728606484,0.31355358913883535,83.10530437447686,142.67044931966436,0.03504206459582515,0.042692439433922036
1.0176833333333348,23.05285880618008,0.3719210775735948,100.92840059539411,140.769852006865,0.030308512340025726,0.050805858354412196
1.0343666666666682,23.486410718126365,0.4335519119462835,124.40295311092237,136.86509910287955,0.02259926699295489,0.059405405081103126
1.0510500000000016,23.994040576555943,0.5076298584295788,149.0849659661949,137.20087046855335,0.04215212173129707,0.0696346233280178
1.067733333333335,24.52984279549166,0.5358022189357191,159.44777323237227,138.9046265095542,0.0059410644991139735,0.07352779733426479
1.0844166666666684,25.10066619939795,0.5708234039062886,174.1181260701672,146.74649125385275,0.026554901789060722,0.07836386468416776
1.1011000000000017,25.684172103743336,0.5835059043453871,173.78498291276892,154.5411146206431,0.005558723987501358,0.08012996250606293
1.1177833333333351,26.28092516799563,0.5967530642522932,177.32074788157993,160.25424686203618,0.013621986790722034,0.08195694264982671
1.1344666666666685,26.88821960646175,0.6072944384661197,170.90537753142706,159.39714284136403,0.013251466704556746,0.0834239069772291
1.151150000000002,27.500060098232538,0.6118404917707895,167.18104695372662,155.8473935278974,0.00824858807870055,0.08405625158324362
1.1678333333333353,28.1128867895719,0.6128266913393602,167.83527251811844,157.08789578629631,0.0029887377696981524,0.08420869879324575
1.1845166666666687,28.723280512200706,0.6103937226288076,172.93603259456646,155.77408912283875,0.0044147280972133655,0.0838899022964112
